region,postcode,price,rent,sales_per_month,bedrooms,population
East Midlands,DE1,142346.0,628.0,12.0,2.0,14438.0
East Midlands,DE3,267574.0,775.0,21.0,3.0,17094.0
East Midlands,DE4,310718.0,757.0,50.0,3.0,33461.0
East Midlands,DE5,211534.0,624.0,20.0,3.0,22075.0
East Midlands,DE6,388940.0,,30.0,3.0,25599.0
East Midlands,DE7,193889.0,615.0,49.0,3.0,49998.0
East Midlands,DE11,200707.0,652.0,46.0,3.0,43734.0
East Midlands,DE12,262562.0,,25.0,3.0,20690.0
East Midlands,DE13,284325.0,711.0,50.0,3.0,40249.0
East Midlands,DE14,163150.0,582.0,21.0,2.0,28975.0
East Midlands,DE15,220535.0,634.0,20.0,3.0,24069.0
East Midlands,DE21,202374.0,679.0,44.0,3.0,57023.0
East Midlands,DE22,211273.0,679.0,55.0,3.0,46003.0
East Midlands,DE23,206741.0,653.0,40.0,3.0,59979.0
East Midlands,DE24,162080.0,636.0,46.0,3.0,54396.0
East Midlands,DE45,351667.0,,11.0,3.0,8764.0
East Midlands,DE55,190289.0,582.0,48.0,3.0,51182.0
East Midlands,DE56,263780.0,798.0,45.0,3.0,39812.0
East Midlands,DE65,271053.0,,31.0,3.0,23074.0
East Midlands,DE72,291110.0,1057.0,25.0,3.0,20453.0
East Midlands,DE73,281681.0,833.0,19.0,3.0,19040.0
East Midlands,DE74,293980.0,,14.0,3.0,11262.0
East Midlands,DE75,184375.0,,16.0,3.0,18589.0
East Midlands,DN1,128306.0,437.0,4.0,2.0,8564.0
East Midlands,DN2,159165.0,530.0,15.0,3.0,24674.0
East Midlands,DN3,177110.0,666.0,29.0,3.0,30083.0
East Midlands,DN4,155818.0,590.0,54.0,3.0,53722.0
East Midlands,DN5,158612.0,627.0,32.0,3.0,40543.0
East Midlands,DN6,152453.0,,22.0,3.0,31041.0
East Midlands,DN7,171325.0,,17.0,3.0,24521.0
East Midlands,DN8,151599.0,,16.0,3.0,17577.0
East Midlands,DN9,259096.0,,23.0,3.0,19790.0
East Midlands,DN10,312670.0,,15.0,3.0,12313.0
East Midlands,DN11,183629.0,628.0,23.0,3.0,28344.0
East Midlands,DN12,128304.0,,20.0,3.0,24092.0
East Midlands,DN14,208354.0,562.0,55.0,3.0,46330.0
East Midlands,DN15,154661.0,487.0,25.0,3.0,36591.0
East Midlands,DN16,141697.0,513.0,27.0,3.0,31697.0
East Midlands,DN17,175220.0,,32.0,3.0,37168.0
East Midlands,DN18,162130.0,,21.0,3.0,11932.0
East Midlands,DN19,229859.0,,8.0,3.0,6296.0
East Midlands,DN20,208199.0,,22.0,3.0,19373.0
East Midlands,DN21,161637.0,521.0,36.0,3.0,37066.0
East Midlands,DN22,216094.0,591.0,40.0,3.0,35940.0
East Midlands,DN31,73258.0,464.0,8.0,2.0,9598.0
East Midlands,DN32,103294.0,457.0,22.0,3.0,29056.0
East Midlands,DN33,169212.0,,17.0,3.0,19406.0
East Midlands,DN34,127870.0,,18.0,3.0,19210.0
East Midlands,DN35,140155.0,516.0,42.0,3.0,34530.0
East Midlands,DN36,237385.0,,26.0,3.0,19200.0
East Midlands,DN37,189043.0,,14.0,3.0,21700.0
East Midlands,DN39,283140.0,,4.0,3.0,2781.0
East Midlands,DN40,147638.0,,9.0,3.0,12072.0
East Midlands,DN41,211229.0,,10.0,3.0,6279.0
East Midlands,LE1,133533.0,656.0,3.0,2.0,13367.0
East Midlands,LE2,251527.0,794.0,67.0,3.0,118270.0
East Midlands,LE3,224073.0,784.0,76.0,3.0,101091.0
East Midlands,LE4,238361.0,785.0,55.0,3.0,96921.0
East Midlands,LE5,262852.0,747.0,48.0,3.0,85528.0
East Midlands,LE6,266104.0,,17.0,3.0,11973.0
East Midlands,LE7,307476.0,742.0,60.0,3.0,44741.0
East Midlands,LE8,295869.0,854.0,47.0,3.0,34931.0
East Midlands,LE9,269241.0,682.0,62.0,3.0,55170.0
East Midlands,LE10,259209.0,711.0,62.0,3.0,47511.0
East Midlands,LE11,218886.0,718.0,41.0,3.0,60318.0
East Midlands,LE12,275385.0,718.0,90.0,3.0,61907.0
East Midlands,LE13,239835.0,603.0,30.0,3.0,27092.0
East Midlands,LE14,347068.0,,23.0,3.0,17261.0
East Midlands,LE15,307279.0,806.0,45.0,3.0,32513.0
East Midlands,LE16,347581.0,848.0,59.0,3.0,34458.0
East Midlands,LE17,332202.0,859.0,27.0,3.0,20768.0
East Midlands,LE18,250282.0,776.0,29.0,3.0,32350.0
East Midlands,LE19,305717.0,,17.0,2.0,14788.0
East Midlands,LE65,326548.0,730.0,13.0,3.0,14162.0
East Midlands,LE67,255149.0,692.0,70.0,3.0,58769.0
East Midlands,LN1,244861.0,687.0,36.0,3.0,28261.0
East Midlands,LN2,241985.0,672.0,39.0,3.0,38576.0
East Midlands,LN3,252335.0,,14.0,3.0,8884.0
East Midlands,LN4,236605.0,761.0,36.0,3.0,38480.0
East Midlands,LN5,196049.0,562.0,37.0,3.0,32965.0
East Midlands,LN6,219622.0,738.0,68.0,3.0,57524.0
East Midlands,LN7,254152.0,,4.0,3.0,6041.0
East Midlands,LN8,238660.0,,20.0,3.0,17226.0
East Midlands,LN9,227946.0,,14.0,3.0,9687.0
East Midlands,LN10,302343.0,,5.0,3.0,5977.0
East Midlands,LN11,221918.0,572.0,29.0,3.0,28197.0
East Midlands,LN12,208444.0,,20.0,3.0,13244.0
East Midlands,LN13,234517.0,,10.0,3.0,7797.0
East Midlands,NG1,151777.0,913.0,8.0,2.0,13245.0
East Midlands,NG2,268893.0,841.0,64.0,3.0,58628.0
East Midlands,NG3,209160.0,752.0,42.0,3.0,48440.0
East Midlands,NG4,199668.0,691.0,42.0,3.0,40807.0
East Midlands,NG5,186409.0,691.0,86.0,3.0,87066.0
East Midlands,NG6,159259.0,675.0,24.0,3.0,37861.0
East Midlands,NG7,180181.0,755.0,16.0,3.0,56435.0
East Midlands,NG8,221074.0,887.0,40.0,3.0,63834.0
East Midlands,NG9,250079.0,772.0,67.0,3.0,73300.0
East Midlands,NG10,202811.0,647.0,46.0,3.0,46868.0
East Midlands,NG11,232492.0,835.0,38.0,3.0,37614.0
East Midlands,NG12,303053.0,980.0,45.0,3.0,32870.0
East Midlands,NG13,318927.0,791.0,34.0,3.0,21469.0
East Midlands,NG14,327147.0,,25.0,3.0,19375.0
East Midlands,NG15,221638.0,704.0,49.0,3.0,40100.0
East Midlands,NG16,203833.0,679.0,58.0,3.0,63697.0
East Midlands,NG17,175390.0,620.0,61.0,3.0,72893.0
East Midlands,NG18,189985.0,562.0,36.0,3.0,42273.0
East Midlands,NG19,165930.0,598.0,45.0,3.0,51628.0
East Midlands,NG20,144955.0,578.0,16.0,3.0,26247.0
East Midlands,NG21,187966.0,,25.0,3.0,22112.0
East Midlands,NG22,260137.0,,25.0,3.0,26156.0
East Midlands,NG23,366976.0,,21.0,3.0,17435.0
East Midlands,NG24,203983.0,625.0,62.0,3.0,44768.0
East Midlands,NG25,407580.0,,14.0,3.0,8992.0
East Midlands,NG31,184450.0,603.0,52.0,3.0,44263.0
East Midlands,NG32,330167.0,,11.0,3.0,12985.0
East Midlands,NG33,358475.0,,11.0,3.0,9709.0
East Midlands,NG34,228054.0,,55.0,3.0,40823.0
East Midlands,S1,119546.0,625.0,4.0,2.0,9829.0
East Midlands,S2,135634.0,676.0,18.0,2.0,44623.0
East Midlands,S3,123931.0,663.0,4.0,2.0,19139.0
East Midlands,S4,97605.0,,6.0,3.0,13867.0
East Midlands,S5,120788.0,,28.0,3.0,60467.0
East Midlands,S6,187588.0,695.0,51.0,3.0,58237.0
East Midlands,S7,277101.0,758.0,19.0,3.0,17453.0
East Midlands,S8,204268.0,682.0,40.0,3.0,45911.0
East Midlands,S9,130148.0,,10.0,2.0,27903.0
East Midlands,S10,265969.0,879.0,37.0,3.0,48200.0
East Midlands,S11,292374.0,876.0,32.0,3.0,34269.0
